AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
6pm,15-Filter,1,0,"['home', 'search', 'filter', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.4,0.75,0.6666666666666666,4.0,0.3333333333333333,
6pm,15-Filter,1,1,"['home', 'search', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['search_bar', 'search', 'filter_option', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.25,0.75,0.3333333333333333,5.0,0.0,
6pm,15-Filter,1,2,"['home', 'search', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['to_search', 'search', 'filter', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.4,0.75,0.6666666666666666,4.0,0.2,
6pm,15-Filter,1,3,"['home', 'search', 'filter', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.4,0.75,0.6666666666666666,4.0,0.3333333333333333,
6pm,15-Filter,1,4,"['home', 'search', 'filter', 'filter', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['search_bar', 'search', 'item_option', 'male', 'filter_option', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.16666666666666666,0.75,0.3333333333333333,6.0,0.14285714285714285,
6pm,15-Filter,1,5,"['home', 'search', 'filter', 'items', 'filter', 'filter']","['home', 'category', 'items', 'filter', 'filter']","['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']","['category_i', 'category_i', 'filter', 'filter', 'filter_option']",0.75,0.4,0.75,0.6666666666666666,4.0,0.3333333333333333,
zappos,15-Filter,0,0,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'items', 'filter', 'filter', 'filter']","['home', 'search', 'items', 'filter', 'filter']","['to_search', 'filter_option', 'filter_option', 'filter', 'filter_option', 'filter_option', 'filter', 'male', 'item_option', 'continue']","['to_search', 'search_bar', 'filter', 'filter_option', 'apply']",1.0,0.5,0.75,0.6,7.0,0.3,
zappos,15-Filter,0,1,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter']","['home', 'search', 'items', 'filter', 'filter']","['to_search', 'filter', 'menu_more', 'item_option', 'menu_more', 'menu_more', 'filter_option', 'filter_option', 'filter_option']","['to_search', 'search_bar', 'filter', 'filter_option', 'apply']",1.0,0.6,0.75,0.6,7.0,0.2222222222222222,
zappos,15-Filter,1,0,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'items', 'filter', 'filter', 'filter']","['home', 'search', 'items', 'filter', 'filter']","['to_search', 'filter_option', 'filter_option', 'filter', 'filter_option', 'filter_option', 'filter', 'male', 'item_option', 'continue']","['to_search', 'search_bar', 'filter', 'filter_option', 'applu']",1.0,0.5,0.75,0.6,7.0,0.3,
zappos,15-Filter,1,1,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter']","['home', 'search', 'items', 'filter', 'filter']","['to_search', 'filter', 'menu_more', 'item_option', 'menu_more', 'menu_more', 'filter_option', 'filter_option', 'filter_option']","['to_search', 'search_bar', 'filter', 'filter_option', 'applu']",1.0,0.6,0.75,0.6,7.0,0.2222222222222222,
